text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
@ToriaMae হাই আপনি কিভাবে আপনার পোস্টে মিউজিক নোট পাবেন?,4,happy,high,positive tone and greeting,,
@HeadHardHat আপনার খারাপ খবর শুনে আমি খুব দুঃখিত।  আমি খুব শীঘ্রই একটি নতুন চাকরি খুঁজে পেতে আপনার উপায় খুশি চিন্তা পাঠাব!,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5913, Requested 437. Please try again in 3.5s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@ElvaHsiao ওমজি! গত রাতটি ছিল 10 বছরের মধ্যে ElvaHsiao তারিখের সেরা সুযোগ!!! এবং আমি ঘুমাচ্ছিলাম,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5884, Requested 392. Please try again in 2.76s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@HaileyATL এবং তাড়াতাড়ি চলে যেতে না হাহা তাহলে এটি একটি আশ্চর্যজনক দিন হত&lt;3 হাহা আপনার পরিবর্তনগুলি বেশ ভাল শোনাচ্ছে!,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5857, Requested 429. Please try again in 2.86s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
আমার মনে হচ্ছে আমি খারাপ প্লাস্টিক সার্জারি lmao পেয়েছিলাম,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5972, Requested 359. Please try again in 3.31s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
আজ ছবি তুলতে ভুলে গেছি...,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5978, Requested 327. Please try again in 3.05s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@theendtime শুভ জন্মদিন,4,happy,high,birthday wish,,
@8 চকলেট হাহা - এই কারণেই আমাকে প্রতিদিন 5 মাইল হাঁটতে হবে এবং প্রতিদিন সকালের নাস্তায় ফল এবং দই খেতে হবে,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5784, Requested 421. Please try again in 2.049999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"আমি আমার মাকে ভালবাসি, সে আমাদেরকে বেলফাস্টে বিজিটি ট্যুরের জন্য 7 নম্বর সারি দিয়েছিল",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5885, Requested 394. Please try again in 2.79s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
আমার কাছে থিও ওয়ালকট 1ম স্কোরার এবং আর্সেনাল 2/1 জিততে পারে... বর্তমানে এটি 1-1 তাই আর্সেনালের স্কোর আবার যদি ï¿½1 বাজি থেকে প্রায় ï¿½75-এ দাঁড়ায়,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5791, Requested 465. Please try again in 2.56s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
