text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
@hollymontag آپ کو UberTwitter انسٹال کرنا چاہیے، یہ بہت بہتر ہے!,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5872, Requested 333. Please try again in 2.049999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
دیکھتے ہی دیکھتے برطانیہ کو ٹیلنٹ ملا,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5963, Requested 324. Please try again in 2.87s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@cursedbyevil پھر کبھی نشے میں نہ پڑو...,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5942, Requested 319. Please try again in 2.61s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@cocolee117 میں ٹھیک کر رہا ہوں ~ تیل میں کام کر رہا ہوں۔,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5950, Requested 337. Please try again in 2.87s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
میں جاننا چاہتا ہوں کہ ٹویٹر پر اور کیا کرنا ہے کیونکہ میں کھو گیا ہوں۔,0,stressed,high,lost on Twitter,,
لیکن یہ سب یادوں کی اچھی واپسی کے لیے تھا... اس میں سے بہت کچھ۔,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5906, Requested 339. Please try again in 2.45s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
موسم کی وجہ سے کافی کا عادی ہو گیا... گھر جانے کا انتظار نہیں کر سکتا,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5896, Requested 338. Please try again in 2.34s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@callmetoast &gt; میری سمائلی کے بال ہیں۔,4,happy,high,playful tone,,
@rschu مجھے لگتا ہے کہ میں واقعی میں یہ نہیں جاننا چاہتا ہوں ..,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5937, Requested 342. Please try again in 2.79s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
لہذا cliche_bingo کے لئے سائن اپ کرنے کا لالچ، لیکن مجھے شک ہے کہ میرے پاس وقت ہوگا۔,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5929, Requested 353. Please try again in 2.82s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@taylorswift13 ارے ٹائے!!!! کیسے ہو؟؟؟؟ میں آپ کے گانے ہمیشہ کے لیے پسند کرتا ہوں، سفید گھوڑے کی محبت کی کہانی.... مجھے فالو کریں، لڑکی... محبت، فلور,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5885, Requested 394. Please try again in 2.79s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@AmyAmber23 ہاہاہا انہوں نے ابھی ہمارے گروپ کو چھیڑا! اگرچہ میں اسے دیکھنے کو نہیں ملا۔,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5870, Requested 367. Please try again in 2.37s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
کل یہ ایک شاندار دن ہے لیکن کل اسکول,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5896, Requested 316. Please try again in 2.12s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
jeydons ویڈیو دیکھ رہے ہیں! -100 سال بہت اچھے!!,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5963, Requested 336. Please try again in 2.99s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@andyclemmensen ily xoxo thx بہت بہت مبارکباد کہنے کے لیے MSN پر!,4,happy,high,expressing gratitude and affection,,
@therabbitshole سماجی گراف اور سماجی تناظر کو LU کے لیے استعمال کرنا ایک زبردست سمت ہے، یہ سن کر بہت اچھا لگا کہ آپ لوگ اس راستے پر جا رہے ہیں,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5828, Requested 375. Please try again in 2.029999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@knic26 میں جنوبی ہوں! LOL! آہ، تم مجھے کتنی اچھی طرح جانتے ہو، ڈارلن!,4,happy,high,exclamation and affectionate tone,,
ایک چھوٹے سے سروے کا جواب دینا۔,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5955, Requested 321. Please try again in 2.76s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@vaninais umm Star Trek؟ nah jokesss ان تمام اچھی چیزوں کے بارے میں سوچیں جو آپ کی توجہ اور محنت سے حاصل ہوں گی۔,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5934, Requested 355. Please try again in 2.89s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@danceforlife7 میں نے ابھی Zaq کو ٹیکسٹ کیا۔ مجھے لگتا ہے کہ میں آج رات آپ سے ملوں گا اچھی بات ہے کہ آپ نے اس کے بارے میں ٹویٹ کیا ورنہ میں کبھی ظاہر نہ ہوتا,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5859, Requested 413. Please try again in 2.72s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
مجھے نئی شکل میں اسکرٹ سے پیار ہے، اوہ یہ پہلے ہی تنخواہ کا دن کیوں نہیں ہوسکتا ہے۔,0,stressed,high,complaining about workday,,
کیا دل ٹوٹ گیا! مجھے نہیں معلوم کہ کیا وہ خود کو روک سکتا ہے، ہم پھر بھی اسے بچے کا فارمولا کھلاتے ہیں۔ اور اگر بارش ہو جائے تو؟ امید ہے کہ وہ جلد واپس آجائے گا۔,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5862, Requested 414. Please try again in 2.76s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
haaaaaaaaaaaaa میری دادی اس ہفتے کے آخر میں امریکہ کے لئے پرواز کریں! میں بھی چاہتا ہوں۔,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5911, Requested 354. Please try again in 2.65s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
