text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
"@hollymontag તમારે UberTwitter ઇન્સ્ટોલ કરવું જોઈએ, તે વધુ સારું છે!",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5881, Requested 371. Please try again in 2.52s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
બ્રિટનમાં ટેલેન્ટ જોવા મળ્યું,4,happy,high,found talent in Britain,,
@cursedbyevil પછી ફરી ક્યારેય નશામાં ન આવશો...,0,angry,high,threatening language,,
@cocolee117 હું સારું કરી રહ્યો છું~ ઓઇલ એડ વર્કિંગ,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5906, Requested 362. Please try again in 2.68s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
હું ખોવાઈ જવાને કારણે ટ્વિટર પર બીજું શું કરવાનું છે તે જાણવા માંગુ છું,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5794, Requested 412. Please try again in 2.06s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
પરંતુ તે બધું યાદોના સારા વળતર માટે હતું... ઘણું બધું.,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5955, Requested 379. Please try again in 3.34s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
હવામાનને કારણે કોફીની લત લાગી ગઈ...ઘરે જવા માટે રાહ જોઈ શકતો નથી,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5934, Requested 396. Please try again in 3.3s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@callmetoast &gt; મારી સ્માઈલી વાળ ધરાવે છે,4,happy,high,smiley face emoji,,
@rschu મને લાગે છે કે હું ખરેખર તે જાણવા માંગતો નથી ..,0,stressed,high,expresses uncertainty and doubt,,
"તેથી cliche_bingo માટે સાઇન અપ કરવા માટે લલચાવી, પરંતુ મને શંકા છે કે મારી પાસે સમય હશે.",0,stressed,high,concern about time,,
"@taylorswift13 હે તાય!!!! તમે કેવી રીતે ???? હું તમારા ગીતોને હંમેશા પ્રેમ કરું છું, સફેદ ઘોડાની લવ સ્ટોરી.... મને ફોલો કરો, છોકરી... પ્રેમ, ફ્લોર",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5743, Requested 492. Please try again in 2.35s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@AmyAmber23 હાહા તેઓ હમણાં જ અમારા જૂથ પર સ્કિમિંગ કરી રહ્યાં છે! જોકે હું તેને જોવા મળી નથી.,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5852, Requested 426. Please try again in 2.78s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
