text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
"@hollymontag நீங்கள் UberTwitter ஐ நிறுவ வேண்டும், இது மிகவும் சிறந்தது!",4,happy,high,enthusiastic praise,,
பிரிட்டனின் திறமையைப் பார்க்கும்போது,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5957, Requested 343. Please try again in 3s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@ cursedbyevil இனி ஒருபோதும் குடிபோதையில் இருக்காதே...,0,angry,high,strong rebuke,,
@cocolee117 நான் நன்றாக இருக்கிறேன் ~ எண்ணெய் வேலை சேர்க்க,4,happy,high,expressing well-being,,
நான் தொலைந்து போனதால் ட்விட்டரில் வேறு என்ன செய்ய வேண்டும் என்பதை அறிய விரும்புகிறது,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5871, Requested 407. Please try again in 2.78s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
ஆனால் இவை அனைத்தும் ஒரு நல்ல நினைவுக்காக இருந்தது... நிறைய.,4,happy,high,positive memory,,
வானிலை காரணமாக காபிக்கு அடிமையாகிவிட்டேன்...வீட்டிற்கு செல்ல காத்திருக்க முடியவில்லை,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5846, Requested 407. Please try again in 2.53s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@callmetoast &gt; என் ஸ்மைலிக்கு முடி இருக்கிறது,4,happy,high,positive sentiment and smile,,
@rschu நான் அதை அறிய விரும்பவில்லை என்று நினைக்கிறேன் ..,0,stressed,high,expresses reluctance,,
"cliche_bingo க்கு பதிவு செய்ய ஆசைப்பட்டேன், ஆனால் எனக்கு நேரம் கிடைக்குமா என்று சந்தேகிக்கிறேன்.",0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5922, Requested 409. Please try again in 3.31s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"@taylorswift13 ஹே டே!!!! எப்படி ஆர் யூ???? நான் உங்கள் பாடல்களை என்றென்றும் விரும்புகிறேன், எப்போதும், வெள்ளைக்குதிரை காதல் கதை.... என்னைப் பின்தொடரு பெண்ணே... காதல், ஃப்ளோர்",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5796, Requested 504. Please try again in 3s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@AmyAmber23 ஹாஹா அவர்கள் எங்கள் குழுவைத் தாண்டிவிட்டார்கள்! இருந்தும் என்னால் பார்க்க முடியவில்லை.,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5887, Requested 417. Please try again in 3.04s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
நேற்று ஒரு அற்புதமான நாள் ஆனால் நாளை பள்ளி,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5903, Requested 359. Please try again in 2.62s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
ஜெய்டன் வீடியோவைப் பார்க்கிறேன்! -100 வருடங்கள் அருமை!!,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5955, Requested 371. Please try again in 3.26s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"@andyclemmensen ily xoxo thx soo மச், பிறந்தநாள் வாழ்த்துக்கள் கோ ஆன் msn!",4,happy,high,expressing affection,,
