text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
@ToriaMae हाय तुम्हाला तुमच्या पोस्टवर संगीत नोट कशी मिळेल?,4,happy,high,positive greeting,,
@HeadHardHat तुमची वाईट बातमी ऐकून मला खूप वाईट वाटले.  मी तुम्हाला आनंदी विचार पाठवीन की तुम्हाला लवकरच नवीन नोकरी मिळेल!,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5949, Requested 361. Please try again in 3.1s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@ElvaHsiao omg! कालची रात्र ही एल्व्हाहसियाओच्या आजपर्यंतच्या 10 वर्षांतील सर्वोत्तम संधी होती!!! आणि मी झोपलो होतो,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5855, Requested 359. Please try again in 2.14s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@HaileyATL आणि लवकर सोडले नाही तर हा एक आश्चर्यकारक दिवस असेल&lt;3 haha ​​तुमचे बदल खूप चांगले वाटतात!,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5940, Requested 345. Please try again in 2.85s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
मला असे दिसते की माझी प्लास्टिक सर्जरी खराब झाली आहे,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5947, Requested 327. Please try again in 2.74s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
आज फोटो काढायला विसरलो...,0,stressed,high,forgot important task,,
@theendtime वाढदिवसाच्या हार्दिक शुभेच्छा,4,happy,high,birthday wishes,,
@8chocolate lol - म्हणूनच मला दररोज 5 मैल चालावे लागते आणि दररोज न्याहारीसाठी फळे आणि दही खावे लागते,0,stressed,high,daily routine is exhausting,,
"मला माझ्या आईवर प्रेम आहे, तिने आम्हाला बेलफास्टमधील बीजीटी टूरसाठी 7 व्या रांगेत आणले आहे, आज कामावर शाळेची सचिव होती.",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5865, Requested 364. Please try again in 2.29s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
माझ्याकडे थिओ वॉलकॉट 1 ला स्कोअरर आहे आणि आर्सेनल 2/1 जिंकणार आहे... सध्या ते 1-1 आहे त्यामुळे जर आर्सेनलचा स्कोअर पुन्हा ï¿½1 पैजमधून सुमारे ï¿½75 वर असेल,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5817, Requested 399. Please try again in 2.159999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
