text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
"@hollymontag আপুনি UberTwitter ইনষ্টল কৰিব লাগে, ইয়াৰ বহুত ভাল!",4,happy,high,enthusiastic recommendation,,
watchin ব্ৰিটেইনবোৰে প্ৰতিভা পাইছিল,4,happy,high,praising Britain,,
@cursedbyevil তেতিয়া আকৌ কেতিয়াও মদ খাব নালাগে...,0,stressed,high,expressing frustration,,
@cocolee117 মই ভালেই আছো~ তেল যোগ কৰক কাম কৰি,4,happy,high,encouraging tone,,
টুইটাৰত আৰু কি কৰিব লাগে জানিব বিচাৰিছো কাৰণ মই হেৰুৱাইছো,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5970, Requested 371. Please try again in 3.41s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
কিন্তু এই সকলোবোৰ স্মৃতিৰ ভাল উভতি অহাৰ বাবে আছিল... বহুত।,4,happy,high,positive sentiment and nostalgic tone,,
বতৰৰ বাবে কফিৰ প্ৰতি আসক্ত হৈ পৰিলোঁ...ঘৰলৈ যাবলৈ ৰৈ থাকিব নোৱাৰিলোঁ,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5876, Requested 387. Please try again in 2.63s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@কলমেটোষ্ট &gt; মোৰ হাঁহিটোৰ চুলি আছে,4,happy,high,expressing preference,,
@rschu মই ভাবো যে মই সঁচাকৈয়ে সেইটো জানিব নিবিচাৰো ..,0,stressed,high,expresses uncertainty,,
"গতিকে cliche_bingo ৰ বাবে চাইন আপ কৰিবলৈ প্ৰলোভিত, কিন্তু সময় পাম বুলি মোৰ সন্দেহ।",0,stressed,high,concern about time,,
"@taylorswift13 হে টে!!!! HOW R U???? আই LOVE UR SONGS FOREVER ï¿1⁄2N সদায়, বগা ঘোঁৰা ï¿1⁄2N প্ৰেম কাহিনী.... মোক অনুসৰণ কৰক, ছোৱালী... প্ৰেম, FLOR",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5877, Requested 425. Please try again in 3.02s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@AmyAmber23 হাহা তেওঁলোকে মাত্ৰ আমাৰ গ্ৰুপৰ ওপৰত skimmed! মই যদিও চাবলৈ নাপালোঁ।,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5873, Requested 382. Please try again in 2.55s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
কালি এটা আচৰিত দিন কিন্তু কাইলৈ ​​স্কুল,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5984, Requested 342. Please try again in 3.26s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
jeydons ভিডিঅ' চাই আছে! -১০০ বছৰ ইয়াৰ awsome!!,4,happy,high,enthusiastic language,,
@andyclemmensen ily xoxo thx soo বহুত শুভ জন্মদিন msn যাওক কোৱাৰ বাবে!,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5917, Requested 352. Please try again in 2.69s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"@therabbitshole LU ৰ বাবে সামাজিক গ্ৰাফ আৰু সামাজিক প্ৰসংগ ব্যৱহাৰ কৰাটো এটা ভয়ংকৰ দিশ, আপোনালোকে এই পথত গৈ থকা শুনিবলৈ পাই ভাল",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5858, Requested 441. Please try again in 2.99s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"@knic26 মই দক্ষিণৰ! হা-হা! আহ, তুমি মোক কিমান ভালকৈ চিনি পাবা, ডাৰ্লিন'!",4,happy,high,playful greeting,,
অলপ জৰীপৰ উত্তৰ দি।,4,happy,high,positive sentiment,,
@vaninais umm ষ্টাৰ ট্ৰেক? nah jokesss আপোনাৰ একাগ্ৰতা আৰু কঠোৰ পৰিশ্ৰমৰ পৰা ওলোৱা সকলো ভাল কথাৰ কথা ভাবি চাওক,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5936, Requested 419. Please try again in 3.55s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@danceforlife7 মই মাত্ৰ Zaqক মেছেজ কৰিলোঁ। মই অনুমান কৰিছোঁ যে আজি ৰাতি আপোনাক লগ পাম ভাল কথা আপুনি ইয়াৰ বিষয়ে টুইট কৰিলে নহ'লে মই কেতিয়াও দেখা নাপাম,4,happy,high,anticipating a good night,,
"'ইম ইন লাভ উইথ এ স্কাৰ্ট ইন নিউ লুক, অহ ৱাই কেন্ট ইট বি পেডে' ইতিমধ্যে",0,angry,high,expresses frustration with a product,,
"কি যে হৃদয় বিদাৰক! তেওঁ নিজৰ যত্ন ল’ব পাৰে নেকি নাজানো, আমি এতিয়াও তাক বেবী ফৰ্মুলা খুৱাই দিওঁ। আৰু বৰষুণ দিলে কি হ’ব? আশাকৰোঁ সি সোনকালে ঘূৰি আহিব",0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5733, Requested 485. Please try again in 2.18s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
এই ছুটিৰ দিনত মোৰ আইতাক আমেৰিকালৈ উৰা মাৰিব ! মইও বিচাৰো,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5883, Requested 368. Please try again in 2.51s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@mileycyrus yaaahh আপুনি জয়ী হ'ব কাৰণ সকলোৱে আপোনাক looooves আৰু আপোনাক ভোট দিব !! like mee everyday ;) &lt;33 মই তোমাক ভাল পাওঁ â¥,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5923, Requested 412. Please try again in 3.35s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
