text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
"अद्य दिवसः, गणितस्य धर्मस्य च भाग्यं कामयतु। तथा मम चित्रस्य कृते.. Show em' up please bhuhuhuhuhuhuhuh morning everyoneeeee!",0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5890, Requested 350. Please try again in 2.4s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
सुप्रभातम् सर्वेभ्यः,4,happy,high,traditional greeting,,
Watchin Hollyoaks...दरिद्र जस्टिन!,0,angry,high,exclamation and negative sentiment,,
@HaileyATL तथा च शीघ्रं न गतः हाहा तदा wouldve एकः अद्भुतः दिवसः आसीत्&lt;3 हाहा भवतः परिवर्तनं बहु उत्तमं ध्वनितुं शक्यते!,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5924, Requested 357. Please try again in 2.81s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"हीई! एतावन्तः जनाः मम FB परीक्षणं कृतवन्तः!  heee, सर्वे च उत्तीर्णाः! आश्चर्यवत् ! :}",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5851, Requested 344. Please try again in 1.95s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
अद्य चित्राणि ग्रहीतुं विस्मृतवान्...,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5910, Requested 314. Please try again in 2.24s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@theendtime जन्मदिनस्य शुभकामना,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5953, Requested 308. Please try again in 2.61s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@8chocolate lol - अतः एव मया प्रतिदिनं ५ मीलपर्यन्तं पादचालनं कर्तव्यं भवति तथा च प्रतिदिनं प्रातःभोजार्थं फलानि yuughrt च खादितव्यम्,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5873, Requested 366. Please try again in 2.389999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"i love love my mum, she got us row 7 for BGT tour in Belfast अद्य कार्ये विद्यालयसचिवः भवति स्म lmao",4,happy,high,expressing love and excitement,,
मम अपि थियो वाल्कोट् प्रथमः स्कोररः आर्सेनलः च 2/1 जितुम् अस्ति... तस्य वर्तमानं 1-1 अतः यदि आर्सेनलः पुनः स्कोरं करोति तर्हि im onto about ï¿1⁄275 from a ï¿1⁄21 bet,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5849, Requested 390. Please try again in 2.389999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
यातायातस्य मध्ये अटत्। ९५एस इत्यत्र पक्की करणम्,0,stressed,high,traffic congestion,,
शृण्वन् fall out बालकः,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5916, Requested 310. Please try again in 2.26s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
सच्चा रक्तं उत्तमम् आसीत्!पिशाचाः आर अद्यापि किञ्चित् स्थूलं मम यद्यपि-स्मरणं करोति ofwhen नर्स tookmy रक्त 8times cuz सा एन प्रशिक्षण agh आसीत्!,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5846, Requested 367. Please try again in 2.13s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@shaki_sm अहं एकवारं अवलोकयिष्यामि। किं भवान् ग्लास्गो-नगरस्य केन्द्रे निवसति ? अहं बेल्शिल् &amp; बोथवेल्-नगरे वर्धितः । अहं टन्नोक्स् पाईस् स्मरामि,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5881, Requested 383. Please try again in 2.639999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
आः महान् कालः व. @ emilyaguillon तथा @ alejandra291992! हाहा; वयं टन हास्यं कृतवन्तः!,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5869, Requested 342. Please try again in 2.109999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
