text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
"@hollymontag ତୁମେ UberTwitter ସଂସ୍ଥାପନ କରିବା ଉଚିତ, ଏହା ବହୁତ ଭଲ!",4,happy,high,encouraging language,,
ୱାଚିନ ବ୍ରିଟିଶମାନେ ପ୍ରତିଭା ପାଇଲେ |,4,happy,high,praise and achievement,,
@cursedbyevil ତାପରେ ଆଉ ମଦ୍ୟପାନ କର ନାହିଁ ...,0,angry,high,swearing and prohibition,,
@ cocolee117 ମୁଁ ଭଲ କରୁଛି oil ତେଲ କାମ କରିବା |,4,happy,high,expressing well-being,,
ଟୁଇଟରରେ ଆଉ କ’ଣ କରିବାକୁ ଅଛି ଜାଣିବାକୁ ଚାହୁଁଛି କାରଣ ମୁଁ ହଜିଯାଇଛି |,0,stressed,high,expresses frustration,,
କିନ୍ତୁ ସ୍ମୃତିର ଏକ ଭଲ ପ୍ରତ୍ୟାବର୍ତ୍ତନ ପାଇଁ ଏହା ଥିଲା ... ଏହାର ଅନେକ |,4,happy,high,positive memory reflection,,
ପାଣିପାଗ କାରଣରୁ କଫିରେ ଅଭ୍ୟସ୍ତ ... ଘରକୁ ଯିବାକୁ ଅପେକ୍ଷା କରିପାରିବି ନାହିଁ |,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5861, Requested 461. Please try again in 3.22s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@ କଲମେଟୋଷ୍ଟ & gt; ମୋର ହସୁଥିବା କେଶ ଅଛି |,4,happy,high,expresses joy,,
@rschu ମୁଁ ଭାବୁଛି ଯେ ମୁଁ ପ୍ରକୃତରେ ତାହା ଜାଣିବାକୁ ଚାହେଁ ନାହିଁ ..,0,sad,high,expresses regret,,
"ତେଣୁ cliche_bingo ପାଇଁ ସାଇନ୍ ଅପ୍ କରିବାକୁ ପ୍ରଲୋଭିତ, କିନ୍ତୁ ମୋର ସନ୍ଦେହ ଅଛି ଯେ ମୋର ସମୟ ଅଛି |",0,stressed,high,expresses concern about time,,
"@ taylorswift13 HEY TAY !!!! କେମିତି R U ???? ମୁଁ ସର୍ବଦା UR ଗୀତକୁ ଭଲ ପାଏ, ସର୍ବଦା, ଧଳା ଘୋଡା ï¿½N ପ୍ରେମ କାହାଣୀ .... ମୋତେ ଅନୁସରଣ କର, IR ିଅ ... ପ୍ରେମ, ପୁଷ୍ପ",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5834, Requested 539. Please try again in 3.73s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@ AmyAmber23 ହାହା ସେମାନେ କେବଳ ଆମ ଗୋଷ୍ଠୀ ଉପରେ ସ୍କିମ୍ କରିଛନ୍ତି! ଯଦିଓ ମୁଁ ଏହାକୁ ଦେଖିବାକୁ ପାଇଲି ନାହିଁ |,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5765, Requested 505. Please try again in 2.699999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
ଗତକାଲି ଏହା ଏକ ଚମତ୍କାର ଦିନ କିନ୍ତୁ ଟମୋରୋ ସ୍କୁଲ୍ |,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5885, Requested 409. Please try again in 2.94s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
ଜେଡନ୍ସ ଭିଡିଓ ଦେଖୁଛନ୍ତି! -100 ବର୍ଷ ଏହାର ଅଦ୍ଭୁତ !!,4,happy,high,excited tone,,
ଜନ୍ମଦିନର ଶୁଭେଚ୍ଛା ଜଣାଇବା ପାଇଁ @andyclemmensen ily xoxo thx ବହୁତ!,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5889, Requested 395. Please try again in 2.84s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"LU ପାଇଁ ସାମାଜିକ ଗ୍ରାଫ୍ ଏବଂ ସାମାଜିକ ପ୍ରସଙ୍ଗକୁ ବ୍ୟବହାର କରି @therabbitshole ଏକ ଚମତ୍କାର ଦିଗ, ଆପଣମାନେ ଏହି ମାର୍ଗକୁ ଯାଉଛନ୍ତି ଶୁଣିବା ପାଇଁ ବହୁତ ଭଲ |",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5774, Requested 588. Please try again in 3.62s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
