text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
"@ToriaMae హాయ్, మీరు మీ పోస్ట్‌లపై సంగీత గమనికను ఎలా పొందగలరు?",4,happy,high,encouraging question,,
"@HeadHardHat మీ చెడ్డ వార్తలు విన్నందుకు నన్ను క్షమించండి.  నేను మీకు సంతోషకరమైన ఆలోచనలను పంపుతాను, మీకు త్వరలో కొత్త ఉద్యోగం దొరుకుతుంది!",0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5773, Requested 513. Please try again in 2.86s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@ElvaHsiao ఓమ్! గత రాత్రి 10 సంవత్సరాలలో ElvaHsiao వరకు అత్యుత్తమ అవకాశం!!! మరియు నేను నిద్రపోతున్నాను,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5869, Requested 439. Please try again in 3.08s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
కాలేజీ పని ఎందుకు అంత నిరుత్సాహపరుస్తుంది?! నేను ఏడవాలనుకుంటున్నాను,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5856, Requested 418. Please try again in 2.74s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
నేను చెడ్డ ప్లాస్టిక్ సర్జరీ చేయించుకున్నాను,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5956, Requested 375. Please try again in 3.31s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
చాలా డౌన్‌లోడ్‌లు ఇప్పటికీ మిగిలి ఉన్నాయి,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5900, Requested 371. Please try again in 2.71s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@thelmarockz thelma నేను షిజ్‌ని చూడలేను నేను ఖాళీగా ఉన్నాను మరియు నేను మరియు మీ వ్యాఖ్యలు,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5862, Requested 422. Please try again in 2.84s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
నా KFC గ్రిల్డ్ చికెన్ మీల్‌లో భూమిపై ఉన్న అతి చిన్న భాగాలు ఉన్నందుకు కలత చెందాను. నేను పిల్లలకు భోజనం చేస్తే బాగుండేదని అనుకుంటున్నాను.,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5759, Requested 527. Please try again in 2.86s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
నేను ఈ రోజు బిచ్ మూడ్‌లో ఉండాలని నిర్ణయించుకున్నాను. లేదా ఈ ఫక్‌హెడ్ పని చేసే వరకు.,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5838, Requested 432. Please try again in 2.699999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
ఈరోజు ఫోటోలు తీయడం మర్చిపోయాను...,0,sad,high,lost interest in activities,,
