text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
"@hollymontag ਤੁਹਾਨੂੰ UberTwitter ਨੂੰ ਸਥਾਪਿਤ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ, ਇਹ ਬਹੁਤ ਵਧੀਆ ਹੈ!",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5852, Requested 382. Please try again in 2.34s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
ਦੇਖੋ ਬ੍ਰਿਟੇਨ ਨੂੰ ਪ੍ਰਤਿਭਾ ਮਿਲੀ,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5902, Requested 345. Please try again in 2.469999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@cursedbyevil ਫਿਰ ਕਦੇ ਵੀ ਸ਼ਰਾਬੀ ਨਾ ਹੋਵੋ...,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5942, Requested 339. Please try again in 2.81s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@cocolee117 ਮੈਂ ਠੀਕ ਕਰ ਰਿਹਾ/ਰਹੀ ਹਾਂ~ ਤੇਲ ਜੋੜੋ ਕੰਮ ਕਰ ਰਿਹਾ ਹਾਂ,4,happy,high,positive tone and completion of task,,
ਮੈਂ ਜਾਣਨਾ ਚਾਹੁੰਦਾ ਹਾਂ ਕਿ ਟਵਿੱਟਰ 'ਤੇ ਹੋਰ ਕੀ ਕਰਨਾ ਹੈ ਕਿਉਂਕਿ ਮੈਂ ਗੁੰਮ ਹੋ ਗਿਆ ਹਾਂ,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5775, Requested 418. Please try again in 1.93s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
ਪਰ ਇਹ ਸਭ ਕੁਝ ਯਾਦਾਂ ਦੀ ਚੰਗੀ ਵਾਪਸੀ ਲਈ ਸੀ... ਬਹੁਤ ਸਾਰਾ।,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5903, Requested 371. Please try again in 2.74s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
ਮੌਸਮ ਦੇ ਕਾਰਨ ਕੌਫੀ ਦਾ ਆਦੀ ਹੋ ਗਿਆ...ਘਰ ਜਾਣ ਲਈ ਇੰਤਜ਼ਾਰ ਨਹੀਂ ਕਰ ਸਕਦਾ,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5862, Requested 392. Please try again in 2.54s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@callmetoast &gt; ਮੇਰੀ ਸਮਾਈਲੀ ਦੇ ਵਾਲ ਹਨ,4,happy,high,positive sentiment and playful tone,,
@rschu ਮੈਨੂੰ ਲਗਦਾ ਹੈ ਕਿ ਮੈਂ ਅਸਲ ਵਿੱਚ ਇਹ ਨਹੀਂ ਜਾਣਨਾ ਚਾਹੁੰਦਾ ..,0,stressed,high,expresses uncertainty and reluctance,,
"ਇਸ ਲਈ ਕਲੀਚੇ_ਬਿੰਗੋ ਲਈ ਸਾਈਨ ਅੱਪ ਕਰਨ ਲਈ ਪਰਤਾਏ ਗਏ, ਪਰ ਮੈਨੂੰ ਸ਼ੱਕ ਹੈ ਕਿ ਮੇਰੇ ਕੋਲ ਸਮਾਂ ਹੋਵੇਗਾ।",0,stressed,high,expresses uncertainty about time,,
