text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
"ഇന്നത്തെ ദിവസമാണ്, എനിക്ക് ഗണിതത്തിനും മതത്തിനും ആശംസകൾ നേരുന്നു. പിന്നെ എൻ്റെ ചിത്രത്തിനായി.. അവരെ കാണിക്കൂ, ദയവായി ഭുഹുഹുഹുഹുഹുഹു രാവിലെ എല്ലാവരേയും!",0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5769, Requested 548. Please try again in 3.17s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
എല്ലാവർക്കും സുപ്രഭാതം,4,happy,high,good morning wish,,
Watchin Hollyoaks...പാവം ജസ്റ്റിൻ!,0,angry,high,exclamation and negative sentiment,,
"@HaileyATL, ഹഹ നേരത്തെ പോയിരുന്നില്ലെങ്കിൽ ഇതൊരു അത്ഭുതകരമായ ദിവസമായിരിക്കും&lt;3 ഹഹ നിങ്ങളുടെ മാറ്റങ്ങൾ വളരെ നന്നായിരിക്കുന്നു!",0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5829, Requested 491. Please try again in 3.2s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"ഹീ! ഒരുപാട് പേർ എൻ്റെ FB ടെസ്റ്റ് നടത്തി!  ഹേയ്, എല്ലാവരും കടന്നുപോയി! അതിശയകരമാംവിധം! :}",4,happy,high,many people passed the test,,
ഇന്ന് ഫോട്ടോ എടുക്കാൻ മറന്നു...,0,stressed,high,forgot important task,,
@അന്ത്യസമയം ജന്മദിനാശംസകൾ,4,happy,high,birthday wishes,,
"@8chocolate lol - അതുകൊണ്ടാണ് എനിക്ക് ദിവസവും 5 മൈൽ നടക്കേണ്ടി വരുന്നത്, എല്ലാ ദിവസവും പ്രാതലിന് പഴവും യഗർട്ടും കഴിക്കണം",0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5828, Requested 469. Please try again in 2.97s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"ഞാൻ എൻ്റെ അമ്മയെ സ്നേഹിക്കുന്നു, ബെൽഫാസ്റ്റിലെ BGT ടൂറിനായി അവൾ ഞങ്ങളെ 7-ാം നിരയിൽ എത്തിച്ചു, ഇന്ന് ജോലിസ്ഥലത്ത് സ്കൂൾ സെക്രട്ടറിയായിരുന്നു lmao",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5764, Requested 516. Please try again in 2.8s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"2/1 ന് വിജയിക്കാൻ എനിക്ക് തിയോ വാൽക്കോട്ട് ഒന്നാം സ്‌കോററും ആഴ്‌സണലും ഉണ്ട്... അത് നിലവിൽ 1-1 ആണ്, അതിനാൽ ആഴ്‌സണൽ വീണ്ടും സ്കോർ ചെയ്താൽ ï¿½1 പന്തയത്തിൽ നിന്ന് ഏകദേശം ï¿½75 ആയി.",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5674, Requested 562. Please try again in 2.36s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
