text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
"@hollymontag तपाईंले UberTwitter स्थापना गर्नुपर्छ, यो धेरै राम्रो!",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5898, Requested 326. Please try again in 2.24s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
हेर्दै बेलायतले प्रतिभा पाए,4,happy,high,celebrating talent,,
@cursedbyevil त्यसपछि कहिल्यै रक्सी नपिउनुहोस्...,0,angry,high,swearing and curse words,,
@cocolee117 म राम्रो गर्दैछु ~ काम गरिरहेको तेल थप्नुहोस्,4,happy,high,expressing happiness,,
म हराएको कारण twitter मा के गर्न बाँकी छ जान्न चाहन्छु,0,stressed,high,concern about remaining on Twitter,,
तर यो सबै सम्झनाहरूको राम्रो फिर्ताको लागि थियो ... धेरै धेरै।,4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5895, Requested 329. Please try again in 2.24s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
मौसमको कारणले कफीको लत लाग्यो...घर जान पर्खन सक्दिन,4,happy,high,positive sentiment and mention of home,,
@callmetoast &gt; मेरो स्माइलीको कपाल छ,4,happy,high,expressive smile,,
@rschu मलाई लाग्छ कि म वास्तवमै त्यो जान्न चाहन्न ..,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5908, Requested 320. Please try again in 2.28s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"त्यसैले cliche_bingo को लागी साइन अप गर्न प्रलोभन भयो, तर मलाई शंका छ कि मसँग समय हुनेछ।",0,stressed,high,concern about time commitment,,
"@taylorswift13 हे टे!!!! कस्तो छ ???? म सधैंभरि आफ्ना गीतहरू मन पराउँछु, सेतो घोडाको प्रेम कथा.... मलाई पछ्याउनुहोस्, केटी... प्रेम, फ्लोर",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5915, Requested 371. Please try again in 2.86s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@AmyAmber23 हाहा तिनीहरूले भर्खर हाम्रो समूहमा स्किम गरे! यद्यपि मैले हेर्न पाएको छैन।,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5873, Requested 342. Please try again in 2.15s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
