text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
@One_StepCloser हाँ,0,angry,high,aggressive tone,correct,
अब! हाहा एक्स,4,happy,high,expressive laughter,correct,
"संगीतमय दिन! ईल्स और जार्विस कॉकर का नया संगीत! इसके अलावा: द ब्लो, ब्लाइंड पायलट और पल्प (यह सब पाने पर काम कर रहे हैं...)! &lt;3 संगीत दिवस!",4,happy,high,expressing enthusiasm for music,correct,
आआआअहह!!! Just had a nasty cockroach run across my haaaaand!!!,0,angry,high,strong reaction to unpleasant stimulus,correct,
"@पियुशन उम्मीद है, उम्मीद है!",4,happy,high,expressing optimism,correct,
@ParksPathToCash शुभ रात्रि! यह 1405 बजे मलेशिया का समय है,4,happy,high,goodnight wish,correct,
मैं काम पर नहीं जाना चाहता...,0,stressed,high,expresses reluctance to go to work,correct,
यह बेहद गर्म होने वाला है और मैं अब काम करने के लिए शॉर्ट्स नहीं पहन सकता। कक्षा की ओर भागना बेकार जा रहा है,0,stressed,high,complaining about heat and work,correct,
"ख़राब खाना खाने वाला दिन था. अब मैं दोषी महसूस कर रहा हूं. बीएमएक्स पर कुछ कैलोरी कम की, लेकिन वह शायद केवल 2 जाफ़ा केक थे",0,stressed,high,regretful about food choice,correct,
"@HaileyATL और यदि आप जल्दी नहीं निकलते तो हाहा, यह एक अद्भुत दिन होता&lt;3 हाहा आपके परिवर्तन बहुत अच्छे लगते हैं!",0,angry,high,threatening tone,,
जेडॉन्स वीडियो देख रहे हैं! -100 साल यह बहुत बढ़िया है!!,4,happy,high,enthusiastic language,,
"@useinsidevoices हाँ, यह सही है",0,stressed,high,forced agreement,,
@समकोह मैं करता हूं... लेकिन वे शायद ही कभी चालू होते हैं!  मेरा मानना ​​है कि आस्ट्रेलियाई लोगों की तुलना में एमएसवासी प्रौद्योगिकी को तेजी से अपनाते हैं... यह कहते हुए दुख हो रहा है!,0,sad,high,expressing regret,,
@Daphne38 हाई स्कूल के ठीक बाद मेरे बाल मेरी ज़रूरत से ज़्यादा हो गए और पिछले साल तक ऐसे ही रहे। मेरी बहन अब इसे काटती है और इसकी अनुमति नहीं देगी,0,stressed,high,hair growth problem,,
"मुझे पाइनएप्पल एक्सप्रेस बहुत पसंद है। सौतेले भाई कल रात, अब पाइनएप्पल एक्सप्रेस। हाँ!",4,happy,high,expressing enthusiasm for Pineapple Express,,
"मैं cliche_bingo के लिए साइन अप करने के लिए उत्सुक था, लेकिन मुझे संदेह है कि मेरे पास समय होगा।",0,stressed,high,time concern,,
मैं हेज़ल और अमांडा खरीदारी करने/सिनेमा जाने के लिए भाग गए और फिर आज रात हेज़ल में रुकेंगे इसलिए कल तक कोई ट्विटर नहीं,0,stressed,high,planning and scheduling,,
"वैसे, मुझे लगता है कि ब्रिटेन बहुत अच्छा काम कर रहा है। वह यूरोप आ रही है, मुझे आश्चर्य है कि वह वियतनाम कब आएगी:-/",0,angry,high,sarcastic tone and question about Vietnam's arrival,,
@TweetFakes इसे जारी रखें!!! उत्पीड़कों के लिए खड़े हों क्योंकि उनके कार्य वास्तव में दूसरों को चोट पहुँचा सकते हैं!,0,angry,high,condemning oppressors,,
@किन्सी ओह! उस स्थान को क्या कहा जाता है? मैं किसी कॉफ़ी शॉप या किताबों की दुकान में काम करना चाहूँगा। और भी बेहतर? एक कॉफ़ी शॉप के साथ एक किताब की दुकान। हाहा.,4,happy,high,expresses enthusiasm for ideal workplace,,
"सप्ताहांत आश्चर्यजनक तेज़ी के साथ ख़त्म हो जाता है, और अब समय आ गया है...गंभीर होने का! यह मत कहो कि मैंने तुम्हें चेतावनी नहीं दी",4,happy,high,encouraging tone,,
कॉलेज का काम इतना निराशाजनक क्यों है?! मैं रोना चाहता हूँ,0,sad,high,expresses desire to cry,,
"काम, फ्रोज़न पिज़्ज़ा और एक फिल्म के साथ काम निपटा रहा हूँ",4,happy,high,enjoying work and leisure activities,,
@g_momo नमस्ते सुन्दर महिला!!,4,happy,high,greeting with admiration,,
@musiclover37209 हाहा बढ़िया! मुझे इसकी जांच करनी होगी,4,happy,high,positive response with laughter,,
@NicJJ क्या एम्मा घर पर है हाँ?,4,happy,high,inquiry about someone's presence,,
आखिरी कुछ घंटे झील पर बिताए और फिर घर की ओर प्रस्थान किया,0,sad,high,ended a pleasant time,,
सबको सुप्रभात,4,happy,high,good morning greeting,,
मैंने तय कर लिया है कि आज मैं चिड़चिड़े मूड में रहूँगा। या जब तक यह बकवास काम पर नहीं चला जाता।,4,happy,high,expressing playful annoyance,,
"मैं जमीन पर खड़ा हूं, मेरे पैर में चोट लग गई है और फड़फड़ाने से सचमुच दर्द होता है। मैं आज प्रदर्शन में थोड़ा बेकार महसूस करने से खुद को रोक नहीं पा रहा हूं।",0,stressed,high,physical pain and performance anxiety,,
