text_translated,polarity,llm_predicted_emotion,llm_confidence,llm_reason,human_verdict_CORRECT_or_actual_emotion,notes
@ToriaMae ಹಾಯ್ ನಿಮ್ಮ ಪೋಸ್ಟ್‌ಗಳಲ್ಲಿ ಸಂಗೀತದ ಟಿಪ್ಪಣಿಯನ್ನು ನೀವು ಹೇಗೆ ಪಡೆಯುತ್ತೀರಿ?,4,happy,high,positive greeting and question,,
@HeadHardHat ನಿಮ್ಮ ಕೆಟ್ಟ ಸುದ್ದಿಯನ್ನು ಕೇಳಲು ನನಗೆ ತುಂಬಾ ವಿಷಾದವಿದೆ.  ನೀವು ಶೀಘ್ರದಲ್ಲೇ ಹೊಸ ಉದ್ಯೋಗವನ್ನು ಕಂಡುಕೊಳ್ಳುವಿರಿ ಎಂದು ನಾನು ನಿಮಗೆ ಸಂತೋಷದ ಆಲೋಚನೆಗಳನ್ನು ಕಳುಹಿಸುತ್ತೇನೆ!,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5810, Requested 560. Please try again in 3.7s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@ElvaHsiao ಓಮ್ಜಿ! ಕಳೆದ ರಾತ್ರಿ 10 ವರ್ಷಗಳಲ್ಲಿ ElvaHsiao ವರೆಗಿನ ಅತ್ಯುತ್ತಮ ಅವಕಾಶ!!! ಮತ್ತು ನಾನು ಮಲಗಿದ್ದೆ,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5841, Requested 433. Please try again in 2.74s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
@HaileyATL ಮತ್ತು ಬೇಗ ಹೊರಡದಿದ್ದರೆ ಹಹಾ ಆಗ ಅದ್ಭುತ ದಿನವಾಗುತ್ತಿತ್ತು&lt;3 ಹಾಹಾ ನಿಮ್ಮ ಬದಲಾವಣೆಗಳು ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ!,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5889, Requested 461. Please try again in 3.5s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
ನಾನು ಕೆಟ್ಟ ಪ್ಲಾಸ್ಟಿಕ್ ಸರ್ಜರಿ ಮಾಡಿದಂತೆ ತೋರುತ್ತಿದೆ,0,stressed,high,complaining about surgery,,
ನಾನು ಇಂದು ಚಿತ್ರಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳಲು ಮರೆತಿದ್ದೇನೆ ...,0,stressed,high,forgot to take pictures,,
@theendtime ಜನ್ಮದಿನದ ಶುಭಾಶಯಗಳು,4,happy,high,birthday wishes,,
ನನ್ನ ಕೆಎಫ್‌ಸಿ ಗ್ರಿಲ್ಡ್ ಚಿಕನ್ ಊಟವು ಭೂಮಿಯ ಮೇಲಿನ ಚಿಕ್ಕ ಭಾಗಗಳನ್ನು ಒಳಗೊಂಡಿದೆ ಎಂದು ಅಸಮಾಧಾನ ವ್ಯಕ್ತಪಡಿಸಿದರು. ನಾನು ಮಕ್ಕಳ ಊಟದಿಂದ ಉತ್ತಮವಾಗಿರುತ್ತಿದ್ದೆ ಎಂದು ನಾನು ಭಾವಿಸುತ್ತೇನೆ.,0,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5707, Requested 577. Please try again in 2.84s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"ನಾನು ನನ್ನ ಅಮ್ಮನನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ, ಅವಳು ಬೆಲ್‌ಫಾಸ್ಟ್‌ನಲ್ಲಿ BGT ಪ್ರವಾಸಕ್ಕಾಗಿ ನಮಗೆ 7 ನೇ ಸಾಲನ್ನು ಪಡೆದಳು ಇಂದು ಕೆಲಸದಲ್ಲಿ ಶಾಲೆಯ ಕಾರ್ಯದರ್ಶಿಯಾಗಿದ್ದಳು",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5740, Requested 538. Please try again in 2.78s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
"ನಾನು ಥಿಯೋ ವಾಲ್ಕಾಟ್ 1 ನೇ ಸ್ಕೋರರ್ ಮತ್ತು ಆರ್ಸೆನಲ್ ಅನ್ನು 2/1 ಗೆಲ್ಲಲು ಹೊಂದಿದ್ದೇನೆ... ಇದು ಪ್ರಸ್ತುತ 1-1 ಆಗಿದೆ, ಆದ್ದರಿಂದ ಆರ್ಸೆನಲ್ ಮತ್ತೊಮ್ಮೆ ï¿½1 ಬೆಟ್‌ನಿಂದ ಸುಮಾರು ï¿½75 ಅನ್ನು ಗಳಿಸಿದರೆ",4,neutral,low,"error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kv3ew38fe1dv34p0wznpx2tn` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 5774, Requested 576. Please try again in 3.5s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",,
